|,№ ,|,Секунда ,|,Микросекунда,|
1,24,597893
2,24,608898
3,24,619899
4,24,630901
5,24,641905
6,24,652907
7,24,663915
8,24,674923
9,24,685907
10,24,696732
11,24,707739
12,24,717776
13,24,728796
14,24,738832
15,24,748854
16,24,759122
17,24,770125
18,24,781128
19,24,792130
20,24,803132
21,24,814136
22,24,825137
23,24,836140
24,24,847142
25,24,858145
26,24,869147
27,24,880152
28,24,890183
29,24,901152
30,24,911169
31,24,922152
32,24,932170
33,24,942191
34,24,952209
35,24,963208
36,24,973225
37,24,984233
38,24,995241
39,25,6247
40,25,17262
41,25,27400
42,25,37434
43,25,47468
44,25,57493
45,25,68332
46,25,79249
47,25,89289
48,25,99345
49,25,110349
50,25,120381
51,25,131389
52,25,142391
53,25,153395
54,25,164400
55,25,175406
56,25,186412
57,25,197418
58,25,208423
59,25,219432
60,25,230430
61,25,241440
62,25,252446
63,25,262699
64,25,272722
65,25,283729
66,25,294739
67,25,305752
68,25,316758
69,25,327727
70,25,338734
71,25,348757
72,25,358778
73,25,368803
74,25,378869
75,25,389740
76,25,400749
77,25,411757
78,25,422131
79,25,432881
80,25,443889
81,25,453933
82,25,464935
83,25,475938
84,25,486940
85,25,497942
86,25,508096
87,25,519098
88,25,530101
89,25,541103
90,25,552107
91,25,563108
92,25,574111
93,25,585113
94,25,596116
95,25,607118
96,25,618120
97,25,629122
98,25,640125
99,25,651132
100,25,662130
101,25,673133
102,25,684135
103,25,695136
104,25,706142
105,25,716168
106,25,727165
107,25,737193
108,25,748174
109,25,759183
110,25,770188
111,25,781196
112,25,792177
113,25,802197
114,25,813206
115,25,824136
116,25,835140
117,25,846146
118,25,856163
119,25,866197
120,25,876402
121,25,886820
122,25,897831
123,25,908825
124,25,918843
125,25,929851
126,25,939869
127,25,949891
128,25,959911
129,25,970903
130,25,980932
131,25,990990
132,26,1997
133,26,12020
134,26,22037
135,26,33015
136,26,43288
137,26,53333
138,26,64334
139,26,74603
140,26,84854
141,26,95859
142,26,105957
143,26,116965
144,26,126987
145,26,137995
146,26,149005
147,26,160011
148,26,170724
149,26,181728
150,26,192733
151,26,202876
152,26,212892
153,26,222936
154,26,233729
155,26,243768
156,26,254770
157,26,265778
158,26,276785
159,26,286804
160,26,297812
161,26,309082
162,26,319129
163,26,329150
164,26,340156
165,26,350825
166,26,361832
167,26,372842
168,26,382860
169,26,393872
170,26,403890
171,26,414840
172,26,424869
173,26,435097
174,26,445126
175,26,455399
176,26,466413
177,26,476845
178,26,486971
179,26,497229
180,26,508233
181,26,519239
182,26,530242
183,26,541248
184,26,551270
185,26,562281
186,26,573286
187,26,584117
188,26,594553
189,26,604609
190,26,614630
191,26,624887
192,26,634930
193,26,645004
194,26,655028
195,26,665149
196,26,676162
197,26,686186
198,26,696209
199,26,706774
200,26,717780
201,26,728791
202,26,738828
203,26,749783
204,26,759806
205,26,770784
206,26,781797
207,26,792800
208,26,803810
209,26,813829
210,26,823993
211,26,835002
212,26,846007
213,26,857015
214,26,868024
215,26,878048
216,26,888070
217,26,898402
218,26,908877
219,26,919095
220,26,929123
221,26,939141
222,26,950101
223,26,960371
224,26,970395
225,26,980423
226,26,991423
227,27,1665
228,27,12431
229,27,22448
230,27,32480
231,27,42744
232,27,53217
233,27,63246
234,27,73442
235,27,83464
236,27,93779
237,27,104143
238,27,114175
239,27,124209
240,27,134475
241,27,145200
242,27,155236
243,27,165421
244,27,176427
245,27,187433
246,27,197708
247,27,207738
248,27,217758
249,27,228432
250,27,238453
251,27,248484
252,27,258518
253,27,268764
254,27,278792
255,27,289799
256,27,300808
257,27,311745
258,27,323007
259,27,333045
260,27,344055
261,27,354088
262,27,365083
263,27,376089
264,27,387091
265,27,398094
266,27,408382
267,27,419388
268,27,430394
269,27,441401
270,27,451443
271,27,461575
272,27,472580
273,27,483592
274,27,494597
275,27,504617
276,27,515623
277,27,526628
278,27,537635
279,27,549104
280,27,559990
281,27,570994
282,27,581640
283,27,592649
284,27,602669
285,27,613106
286,27,624113
287,27,635124
288,27,645447
289,27,656444
290,27,667450
291,27,678456
292,27,689459
293,27,700466
294,27,710741
295,27,721748
296,27,732754
297,27,743762
298,27,754772
299,27,765777
300,27,776786
